CABra ID  	 143
ANA ID    	 37515000
Longitude 	 -36.783   	 dd
Latitude  	 -6.594    	 dd
Area      	 1944.73   	 km²
Elevation 	 499.04    	 m
 
p_ens, tmin_ens, tmax_ens, rh_ens, wnd_ens and srad_ens product are derived from the ENSEMBLE dataset
et_ens product is derived from the GLEAM dataset
pet_hg was estimated by Penman-Monteith method
pet_pm was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ens	   tmin_ens	   tmax_ens	     rh_ens	    wnd_ens	   srad_ens	   et_ens	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.634	     21.682	     32.758	     59.565	      3.010	     20.487	    0.496	    6.060	    6.323	    5.080
 1980	     1	     2	    1.940	     22.712	     32.037	     60.250	      2.876	     17.304	    0.930	    5.129	    5.411	    4.306
 1980	     1	     3	    3.660	     22.316	     32.509	     64.803	      2.586	     18.024	    0.977	    5.340	    5.621	    4.489
 1980	     1	     4	    3.082	     22.380	     32.900	     62.051	      3.151	     20.965	    0.972	    6.126	    6.491	    5.247
 1980	     1	     5	    0.090	     22.270	     33.571	     54.976	      2.925	     21.660	    0.811	    6.371	    6.713	    5.455
 1980	     1	     6	    0.488	     22.503	     32.773	     65.641	      3.828	     20.769	    0.611	    6.196	    6.434	    5.198
 1980	     1	     7	    0.264	     23.000	     32.350	     60.619	      4.122	     21.726	    0.507	    6.215	    6.718	    5.442
 1980	     1	     8	    0.085	     21.320	     32.804	     57.677	      3.647	     21.110	    0.358	    6.411	    6.494	    5.216
 1980	     1	     9	    0.025	     21.822	     33.513	     58.738	      3.077	     20.656	    0.466	    6.273	    6.402	    5.173
 1980	     1	    10	    1.384	     22.062	     33.633	     58.242	      2.808	     22.649	    0.726	    6.567	    6.998	    5.695
 1980	     1	    11	    1.193	     22.420	     30.932	     64.704	      2.956	     17.607	    1.542	    5.000	    5.464	    4.313
 1980	     1	    12	    2.491	     22.080	     32.583	     62.461	      2.796	     21.437	    1.370	    6.091	    6.609	    5.329
 1980	     1	    13	    0.495	     22.856	     33.483	     58.846	      3.205	     21.240	    1.152	    6.268	    6.608	    5.378
 1980	     1	    14	    0.775	     22.892	     33.456	     60.840	      2.635	     21.089	    0.934	    6.077	    6.564	    5.340
 1980	     1	    15	    0.203	     22.837	     33.866	     61.408	      1.936	     21.288	    0.819	    5.992	    6.633	    5.412
 1980	     1	    16	    0.499	     22.838	     33.428	     63.202	      2.687	     21.019	    0.584	    6.078	    6.540	    5.318
