CABra ID  	 33
ANA ID    	 16700000
Longitude 	 -55.958   	 dd
Latitude  	 2.226     	 dd
Area      	 818.09    	 km²
Elevation 	 434.17    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	      2.807	          2
 1980	    10	     2	      2.598	          2
 1980	    10	     3	      2.702	          2
 1980	    10	     4	      2.914	          2
 1980	    10	     5	      3.022	          2
 1980	    10	     6	      2.807	          2
 1980	    10	     7	      2.598	          2
 1980	    10	     8	      2.394	          2
 1980	    10	     9	      2.394	          2
 1980	    10	    10	      2.495	          2
 1980	    10	    11	      2.598	          2
 1980	    10	    12	      2.495	          2
 1980	    10	    13	      2.394	          2
 1980	    10	    14	      2.293	          2
 1980	    10	    15	      2.293	          2
 1980	    10	    16	      2.001	          2
 1980	    10	    17	      1.906	          2
 1980	    10	    18	      1.832	          2
 1980	    10	    19	      1.761	          2
 1980	    10	    20	      1.691	          2
 1980	    10	    21	      1.558	          2
 1980	    10	    22	      1.558	          2
 1980	    10	    23	      1.558	          2
 1980	    10	    24	      1.558	          2
 1980	    10	    25	      1.558	          2
 1980	    10	    26	      1.558	          2
 1980	    10	    27	      1.558	          2
 1980	    10	    28	      1.558	          2
 1980	    10	    29	      1.494	          2
 1980	    10	    30	      1.432	          2
 1980	    10	    31	      1.371	          2
 1980	    11	     1	      1.371	          2
 1980	    11	     2	      1.371	          2
 1980	    11	     3	      1.371	          2
 1980	    11	     4	      1.371	          2
 1980	    11	     5	      1.146	          2
 1980	    11	     6	      1.094	          2
 1980	    11	     7	      1.094	          2
 1980	    11	     8	      1.094	          2
 1980	    11	     9	      1.094	          2
 1980	    11	    10	      1.094	          2
 1980	    11	    11	      0.995	          2
 1980	    11	    12	      0.995	          2
 1980	    11	    13	      1.044	          2
 1980	    11	    14	      1.432	          2
 1980	    11	    15	      1.691	          2
 1980	    11	    16	      2.394	          2
 1980	    11	    17	      2.598	          2
 1980	    11	    18	      3.022	          2
 1980	    11	    19	      3.352	          2
 1980	    11	    20	      3.577	          2
 1980	    11	    21	      3.691	          2
 1980	    11	    22	      3.577	          2
 1980	    11	    23	      2.807	          2
 1980	    11	    24	      2.394	          2
 1980	    11	    25	      2.195	          2
 1980	    11	    26	      2.293	          2
 1980	    11	    27	      2.293	          2
 1980	    11	    28	      3.352	          2
 1980	    11	    29	      3.022	          2
 1980	    11	    30	      2.097	          2
 1980	    12	     1	      1.761	          2
 1980	    12	     2	      2.097	          2
 1980	    12	     3	      1.761	          2
 1980	    12	     4	      2.195	          2
 1980	    12	     5	      2.097	          2
 1980	    12	     6	      1.624	          2
 1980	    12	     7	      1.494	          2
 1980	    12	     8	      1.371	          2
 1980	    12	     9	      1.761	          2
 1980	    12	    10	      1.558	          2
 1980	    12	    11	      1.146	          2
 1980	    12	    12	      0.947	          2
 1980	    12	    13	      0.902	          2
 1980	    12	    14	      0.902	          2
 1980	    12	    15	      0.902	          2
 1980	    12	    16	      1.200	          2
 1980	    12	    17	      1.906	          2
 1980	    12	    18	      4.401	          2
 1980	    12	    19	      6.738	          2
 1980	    12	    20	      6.463	          2
 1980	    12	    21	      6.059	          2
 1980	    12	    22	      6.328	          2
 1980	    12	    23	      7.438	          2
 1980	    12	    24	      6.328	          2
 1980	    12	    25	      5.019	          2
 1980	    12	    26	      4.280	          2
 1980	    12	    27	      3.352	          2
