CABra ID  	 697
ANA ID    	 60477400
Longitude 	 -47.879   	 dd
Latitude  	 -15.713   	 dd
Area      	 233.39    	 km²
Elevation 	 1166.24   	 m
 
p_ens, tmin_ens, tmax_ens, rh_ens, wnd_ens and srad_ens product are derived from the ENSEMBLE dataset
et_ens product is derived from the GLEAM dataset
pet_hg was estimated by Penman-Monteith method
pet_pm was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ens	   tmin_ens	   tmax_ens	     rh_ens	    wnd_ens	   srad_ens	   et_ens	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   11.353	     17.437	     21.845	     91.898	      2.140	      8.964	    1.300	    2.404	    2.912	    1.849
 1980	     1	     2	   19.241	     17.575	     22.552	     90.609	      1.482	     10.379	    1.426	    2.699	    3.295	    2.165
 1980	     1	     3	    9.828	     16.826	     24.339	     83.578	      0.666	     17.111	    3.146	    4.103	    5.091	    3.617
 1980	     1	     4	    2.835	     16.852	     27.417	     75.005	      0.943	     25.176	    4.580	    6.011	    7.384	    5.538
 1980	     1	     5	    0.963	     16.753	     26.572	     75.363	      2.170	     22.994	    3.765	    5.638	    6.747	    4.998
 1980	     1	     6	    1.032	     17.164	     26.656	     78.298	      1.801	     20.567	    3.299	    5.140	    6.112	    4.498
 1980	     1	     7	    4.085	     16.959	     25.728	     83.657	      1.140	     17.798	    3.593	    4.414	    5.323	    3.837
 1980	     1	     8	   14.960	     16.398	     23.900	     85.624	      1.088	     12.609	    2.573	    3.261	    3.879	    2.636
 1980	     1	     9	   19.478	     16.857	     25.225	     83.113	      1.206	     15.082	    2.727	    3.856	    4.578	    3.227
 1980	     1	    10	   18.197	     16.960	     23.697	     84.775	      1.347	     12.070	    2.434	    3.151	    3.747	    2.535
 1980	     1	    11	    6.794	     16.772	     25.308	     83.574	      1.110	     14.653	    2.776	    3.769	    4.463	    3.135
 1980	     1	    12	   10.851	     16.686	     22.235	     89.749	      1.194	     11.567	    2.276	    2.915	    3.579	    2.374
 1980	     1	    13	   56.425	     16.983	     19.971	     94.854	      1.275	      7.113	    0.729	    1.897	    2.405	    1.421
 1980	     1	    14	   26.393	     17.253	     24.763	     90.007	      1.252	     12.548	    2.169	    3.319	    3.902	    2.682
 1980	     1	    15	   13.472	     18.007	     22.992	     92.699	      1.243	     10.619	    1.880	    2.750	    3.373	    2.240
