CABra ID  	 697
ANA ID    	 60477400
Longitude 	 -47.879   	 dd
Latitude  	 -15.713   	 dd
Area      	 233.39    	 km²
Elevation 	 1166.24   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	      1.156	          1
 1980	    10	     2	      0.777	          1
 1980	    10	     3	      0.756	          1
 1980	    10	     4	      0.911	          1
 1980	    10	     5	      0.654	          1
 1980	    10	     6	      0.777	          1
 1980	    10	     7	      0.674	          1
 1980	    10	     8	      0.596	          1
 1980	    10	     9	      0.489	          1
 1980	    10	    10	      0.439	          1
 1980	    10	    11	      0.541	          1
 1980	    10	    12	      0.578	          1
 1980	    10	    13	      0.455	          1
 1980	    10	    14	      1.130	          1
 1980	    10	    15	      0.423	          1
 1980	    10	    16	      0.559	          1
 1980	    10	    17	      0.714	          1
 1980	    10	    18	      0.489	          1
 1980	    10	    19	      0.634	          1
 1980	    10	    20	      0.407	          1
 1980	    10	    21	      0.423	          1
 1980	    10	    22	      0.407	          1
 1980	    10	    23	      0.423	          1
 1980	    10	    24	      0.391	          1
 1980	    10	    25	      0.391	          1
 1980	    10	    26	      0.506	          1
 1980	    10	    27	      0.376	          1
 1980	    10	    28	      0.391	          1
 1980	    10	    29	      0.455	          1
 1980	    10	    30	      0.541	          1
 1980	    10	    31	      0.523	          1
 1980	    11	     1	      0.506	          1
 1980	    11	     2	      0.865	          1
 1980	    11	     3	      0.615	          1
 1980	    11	     4	      0.615	          1
 1980	    11	     5	      0.407	          1
 1980	    11	     6	      0.615	          1
 1980	    11	     7	      1.961	          1
 1980	    11	     8	      2.741	          1
 1980	    11	     9	      0.888	          1
 1980	    11	    10	      0.523	          1
 1980	    11	    11	      0.506	          1
 1980	    11	    12	      0.911	          1
 1980	    11	    13	      0.981	          1
 1980	    11	    14	      1.079	          1
 1980	    11	    15	      0.911	          1
 1980	    11	    16	      0.777	          1
 1980	    11	    17	      0.799	          1
 1980	    11	    18	      0.674	          1
 1980	    11	    19	      0.634	          1
 1980	    11	    20	      0.654	          1
 1980	    11	    21	      0.694	          1
 1980	    11	    22	      1.030	          1
 1980	    11	    23	      1.005	          1
 1980	    11	    24	      1.235	          1
 1980	    11	    25	      1.130	          1
 1980	    11	    26	      2.843	          1
 1980	    11	    27	      4.762	          1
 1980	    11	    28	      1.701	          1
 1980	    11	    29	      1.797	          1
 1980	    11	    30	      2.152	          1
 1980	    12	     1	      1.829	          1
 1980	    12	     2	      2.843	          1
