CABra ID  	 735
ANA ID    	 87400000
Longitude 	 -51.068   	 dd
Latitude  	 -29.963   	 dd
Area      	 1664.71   	 km²
Elevation 	 55.72     	 m
 
p_ens, tmin_ens, tmax_ens, rh_ens, wnd_ens and srad_ens product are derived from the ENSEMBLE dataset
et_ens product is derived from the GLEAM dataset
pet_hg was estimated by Penman-Monteith method
pet_pm was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ens	   tmin_ens	   tmax_ens	     rh_ens	    wnd_ens	   srad_ens	   et_ens	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.506	     15.052	     22.095	     67.554	      2.914	     22.225	    2.575	    4.663	    6.025	    4.453
 1980	     1	     2	    0.018	     13.437	     24.246	     68.764	      1.145	     29.326	    4.156	    6.257	    7.805	    5.919
 1980	     1	     3	    0.000	     13.953	     27.169	     66.904	      1.264	     30.831	    4.316	    6.964	    8.424	    6.514
 1980	     1	     4	    0.000	     15.846	     27.739	     64.529	      1.957	     30.862	    4.475	    7.124	    8.602	    6.730
 1980	     1	     5	    0.000	     18.192	     28.433	     70.358	      2.686	     27.425	    4.187	    6.603	    7.876	    6.210
 1980	     1	     6	    0.746	     19.534	     31.825	     67.829	      2.347	     24.235	    3.777	    6.596	    7.232	    5.804
 1980	     1	     7	   13.530	     20.282	     29.813	     73.018	      1.474	     22.635	    5.439	    5.661	    6.734	    5.342
 1980	     1	     8	    1.622	     20.223	     29.636	     79.067	      1.174	     17.150	    4.246	    4.491	    5.203	    4.036
 1980	     1	     9	   14.721	     20.311	     25.581	     83.527	      2.325	     16.521	    4.449	    3.924	    4.922	    3.708
 1980	     1	    10	   10.640	     19.901	     26.055	     81.032	      1.927	     18.165	    3.623	    4.323	    5.362	    4.080
 1980	     1	    11	    1.665	     17.624	     30.129	     71.647	      1.183	     28.126	    4.818	    6.809	    8.126	    6.456
 1980	     1	    12	    1.384	     19.940	     27.333	     77.891	      2.004	     24.710	    4.204	    5.716	    7.176	    5.640
 1980	     1	    13	    0.000	     19.295	     28.149	     71.675	      3.453	     30.090	    4.664	    6.899	    8.642	    6.882
 1980	     1	    14	    0.006	     19.057	     26.915	     70.387	      3.738	     28.622	    4.119	    6.348	    8.156	    6.430
 1980	     1	    15	    0.009	     18.605	     27.235	     70.799	      3.559	     27.775	    3.853	    6.361	    7.921	    6.230
 1980	     1	    16	    0.415	     19.173	     27.844	     78.221	      3.177	     23.467	    4.006	    5.736	    6.824	    5.339
 1980	     1	    17	    0.275	     19.953	     29.832	     77.652	      2.459	     24.918	    4.342	    6.280	    7.349	    5.859
 1980	     1	    18	    2.694	     21.255	     29.926	     77.785	      0.845	     21.696	    4.889	    5.330	    6.512	    5.185
 1980	     1	    19	   13.627	     20.773	     30.355	     76.369	      1.600	     25.924	    4.181	    6.377	    7.692	    6.192
 1980	     1	    20	    1.240	     19.219	     27.309	     70.978	      1.874	     28.362	    4.028	    6.414	    8.114	    6.415
 1980	     1	    21	    0.003	     18.395	     29.085	     66.497	      0.935	     29.670	    4.182	    6.906	    8.523	    6.788
 1980	     1	    22	    0.000	     18.699	     32.701	     60.304	      1.703	     30.362	    4.273	    7.780	    8.949	    7.275
 1980	     1	    23	    0.852	     22.023	     34.940	     55.653	      2.392	     24.831	    3.892	    7.145	    7.632	    6.330
 1980	     1	    24	   44.150	     17.320	     24.786	     80.681	      1.951	      7.876	    1.813	    2.563	    2.564	    1.686
 1980	     1	    25	    3.230	     14.869	     24.566	     66.866	      2.362	     26.824	    4.092	    5.887	    7.280	    5.543
 1980	     1	    26	    0.019	     17.220	     27.818	     69.326	      1.987	     27.368	    3.933	    6.448	    7.755	    6.078
 1980	     1	    27	    0.084	     17.961	     30.112	     74.671	      1.450	     26.531	    3.632	    6.552	    7.697	    6.114
 1980	     1	    28	    2.155	     20.300	     26.299	     84.169	      2.090	     20.244	    2.794	    4.697	    5.932	    4.583
 1980	     1	    29	    0.171	     18.553	     28.228	     72.138	      2.812	     28.296	    4.053	    6.668	    8.102	    6.420
 1980	     1	    30	    0.827	     18.990	     31.000	     70.620	      2.114	     25.536	    5.538	    6.638	    7.518	    6.019
 1980	     1	    31	   21.387	     20.153	     25.292	     85.383	      1.157	     11.463	    3.139	    2.926	    3.554	    2.559
 1980	     2	     1	   17.483	     18.803	     25.054	     82.708	      2.499	     20.905	    4.173	    4.708	    5.990	    4.575
 1980	     2	     2	    1.078	     18.331	     25.373	     78.892	      3.171	     19.806	    2.577	    4.655	    5.695	    4.326
 1980	     2	     3	    0.133	     20.053	     29.174	     72.228	      2.786	     28.045	    4.294	    6.699	    8.168	    6.552
 1980	     2	     4	    0.002	     19.078	     29.470	     71.212	      2.695	     27.409	    4.172	    6.745	    7.954	    6.352
 1980	     2	     5	    1.700	     21.364	     31.316	     71.791	      1.689	     18.601	    4.543	    5.065	    5.676	    4.522
 1980	     2	     6	    5.419	     22.214	     28.816	     76.285	      1.753	     20.570	    3.084	    5.009	    6.179	    4.908
 1980	     2	     7	    0.456	     19.596	     29.395	     74.531	      1.019	     25.822	    3.981	    6.162	    7.539	    6.016
 1980	     2	     8	    0.009	     19.657	     29.334	     67.342	      1.022	     28.625	    4.228	    6.711	    8.306	    6.669
 1980	     2	     9	    0.092	     21.409	     32.653	     68.359	      2.675	     27.191	    5.437	    7.215	    8.174	    6.714
 1980	     2	    10	   12.357	     21.191	     30.491	     81.258	      1.941	     15.869	    3.950	    4.489	    4.876	    3.815
 1980	     2	    11	   19.052	     20.841	     26.013	     79.440	      1.721	     16.749	    3.758	    3.969	    4.990	    3.803
 1980	     2	    12	    0.600	     18.818	     30.713	     74.162	      1.542	     26.575	    3.984	    6.630	    7.766	    6.230
 1980	     2	    13	    0.408	     20.590	     29.744	     79.333	      1.667	     25.266	    3.847	    6.151	    7.444	    5.979
 1980	     2	    14	    0.022	     20.561	     29.782	     73.419	      2.631	     28.001	    4.355	    6.763	    8.201	    6.627
 1980	     2	    15	    0.000	     20.083	     30.472	     74.423	      2.721	     27.342	    4.112	    6.864	    8.028	    6.487
 1980	     2	    16	    6.031	     20.953	     33.269	     72.431	      1.419	     24.745	    3.966	    6.520	    7.470	    6.121
 1980	     2	    17	   23.622	     20.965	     25.048	     86.492	      1.683	     11.593	    3.426	    2.884	    3.588	    2.606
 1980	     2	    18	    5.566	     18.765	     23.763	     71.681	      3.218	     19.999	    2.715	    4.253	    5.676	    4.303
 1980	     2	    19	    0.080	     17.360	     24.971	     70.014	      2.874	     22.107	    3.329	    5.013	    6.206	    4.745
 1980	     2	    20	    0.371	     16.923	     24.688	     74.764	      2.756	     20.353	    2.989	    4.716	    5.722	    4.328
 1980	     2	    21	    3.259	     19.296	     25.940	     84.651	      1.549	     16.479	    3.583	    4.001	    4.855	    3.669
 1980	     2	    22	    6.933	     20.229	     27.912	     77.040	      0.960	     21.841	    3.888	    5.164	    6.392	    5.037
 1980	     2	    23	    1.095	     20.067	     28.363	     83.753	      1.890	     20.295	    4.387	    5.042	    5.982	    4.697
 1980	     2	    24	    4.761	     20.594	     30.155	     82.918	      1.209	     20.611	    4.249	    5.205	    6.154	    4.901
 1980	     2	    25	    7.855	     20.948	     27.848	     83.402	      1.645	     14.983	    4.000	    3.875	    4.549	    3.482
 1980	     2	    26	    0.693	     21.070	     28.746	     82.275	      1.288	     19.299	    3.371	    4.762	    5.757	    4.540
 1980	     2	    27	    3.071	     21.702	     29.576	     81.556	      1.057	     19.726	    3.638	    4.882	    5.924	    4.720
 1980	     2	    28	    0.885	     21.023	     30.722	     77.070	      1.012	     23.224	    4.357	    5.734	    6.915	    5.587
 1980	     2	    29	    2.108	     22.427	     30.502	     79.828	      1.401	     16.220	    4.300	    4.312	    4.988	    3.955
 1980	     3	     1	    2.006	     21.480	     29.985	     79.146	      1.424	     18.488	    4.649	    4.759	    5.580	    4.433
 1980	     3	     2	    9.236	     22.597	     28.689	     84.329	      1.468	     15.213	    2.900	    3.882	    4.666	    3.640
 1980	     3	     3	    8.675	     22.217	     26.822	     88.190	      1.033	     11.412	    2.937	    2.919	    3.577	    2.660
