CABra ID  	 735
ANA ID    	 87400000
Longitude 	 -51.068   	 dd
Latitude  	 -29.963   	 dd
Area      	 1664.71   	 km²
Elevation 	 55.72     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	     15.790	          1
 1980	    10	     2	     12.512	          1
 1980	    10	     3	     11.502	          1
 1980	    10	     4	     11.667	          1
 1980	    10	     5	     13.032	          1
 1980	    10	     6	     12.684	          1
 1980	    10	     7	     10.693	          1
 1980	    10	     8	      9.458	          1
 1980	    10	     9	     10.377	          1
 1980	    10	    10	     11.502	          1
 1980	    10	    11	     10.693	          1
 1980	    10	    12	      9.608	          1
 1980	    10	    13	      9.014	          1
 1980	    10	    14	      8.438	          1
 1980	    10	    15	      8.297	          1
 1980	    10	    16	      9.458	          1
 1980	    10	    17	     10.693	          1
 1980	    10	    18	     11.667	          1
 1980	    10	    19	     10.534	          1
 1980	    10	    20	     10.066	          1
 1980	    10	    21	     11.667	          1
 1980	    10	    22	     13.385	          1
 1980	    10	    23	     13.032	          1
 1980	    10	    24	     11.667	          1
 1980	    10	    25	     10.693	          1
 1980	    10	    26	      9.912	          1
 1980	    10	    27	      9.608	          1
 1980	    10	    28	      8.580	          1
 1980	    10	    29	      7.476	          1
 1980	    10	    30	      6.446	          1
 1980	    10	    31	      5.491	          1
 1980	    11	     1	      5.959	          1
 1980	    11	     2	      8.580	          1
 1980	    11	     3	     10.066	          1
 1980	    11	     4	     12.340	          1
 1980	    11	     5	     14.471	          1
 1980	    11	     6	     15.983	          1
 1980	    11	     7	     17.166	          1
 1980	    11	     8	     19.796	          1
 1980	    11	     9	     23.508	          1
 1980	    11	    10	     26.855	          1
 1980	    11	    11	     33.978	          1
 1980	    11	    12	     37.319	          1
 1980	    11	    13	     39.243	          1
 1980	    11	    14	     39.459	          1
 1980	    11	    15	     39.028	          1
 1980	    11	    16	     39.243	          1
 1980	    11	    17	     38.813	          1
 1980	    11	    18	     36.054	          1
 1980	    11	    19	     33.568	          1
 1980	    11	    20	     31.944	          1
 1980	    11	    21	     29.559	          1
 1980	    11	    22	     27.236	          1
 1980	    11	    23	     25.163	          1
 1980	    11	    24	     23.690	          1
 1980	    11	    25	     21.892	          1
 1980	    11	    26	     19.229	          1
 1980	    11	    27	     15.983	          1
 1980	    11	    28	     13.032	          1
 1980	    11	    29	     10.066	          1
 1980	    11	    30	      6.446	          1
 1980	    12	     1	      7.610	          1
 1980	    12	     2	      9.608	          1
 1980	    12	     3	     11.667	          1
 1980	    12	     4	     16.966	          1
 1980	    12	     5	     43.410	          1
 1980	    12	     6	     52.934	          1
 1980	    12	     7	     68.467	          1
 1980	    12	     8	     78.795	          1
 1980	    12	     9	     74.250	          1
 1980	    12	    10	     72.045	          1
 1980	    12	    11	     72.045	          1
 1980	    12	    12	     68.467	          1
 1980	    12	    13	     56.570	          1
 1980	    12	    14	     46.680	          1
 1980	    12	    15	     44.755	          1
 1980	    12	    16	     41.859	          1
 1980	    12	    17	     37.957	          1
 1980	    12	    18	     34.184	          1
 1980	    12	    19	     30.347	          1
 1980	    12	    20	     26.287	          1
 1980	    12	    21	     24.056	          1
 1980	    12	    22	     22.426	          1
 1980	    12	    23	     20.314	          1
